Date,Open,High,Low,Close,Adj Close,Volume
9/20/19,153,153.229996,151.600006,152.039993,149.790756,2106100
9/23/19,151.710007,152.460007,151.570007,152.119995,149.869568,2051800
9/24/19,152.600006,152.809998,150.199997,150.710007,148.480453,4234600
9/25/19,150.729996,151.910004,149.919998,151.660004,149.416382,6144100
9/26/19,151.660004,151.660004,150.470001,151.199997,148.963196,1723000
9/27/19,151.639999,151.710007,149.440002,150.300003,148.076523,1940200
9/30/19,150.649994,151.369995,150.550003,151,148.766159,1702000
10/1/19,151.5,151.880005,148.919998,149.029999,146.825287,2823000
10/2/19,148.179993,148.240005,145.820007,146.610001,144.441086,3811500
10/3/19,146.479996,147.800003,144.899994,147.800003,145.61351,4380400
10/4/19,148.360001,149.809998,148.039993,149.729996,147.514923,2509200
10/7/19,149.380005,150.190002,148.889999,149.139999,146.933685,2237400
10/8/19,148.039993,148.360001,146.710007,146.729996,144.559311,2213900
10/9/19,147.850006,148.589996,147.520004,148.080002,145.889359,3294600
10/10/19,148,149.5,147.990005,149.029999,146.825287,3508900
10/11/19,150.509995,151.899994,150.470001,150.630005,148.401627,3377100
10/14/19,150.520004,150.75,150.25,150.490005,148.263702,1213500
10/15/19,151.029999,152.330002,150.919998,151.970001,149.721802,2153200
10/16/19,151.639999,152.050003,151.369995,151.690002,149.445953,1578400
10/17/19,152.330002,152.639999,151.839996,152.190002,149.938553,1640400
10/18/19,151.940002,152.199997,150.899994,151.580002,149.33757,1720000
10/21/19,152.350006,152.690002,152.059998,152.570007,150.312927,1710100
10/22/19,152.929993,153.009995,152.039993,152.110001,149.859726,1711800
10/23/19,151.970001,152.490005,151.770004,152.419998,150.165131,1804000
10/24/19,153.009995,153.080002,152.279999,152.839996,150.578918,1582200
10/25/19,152.490005,153.759995,152.419998,153.449997,151.179901,2461600
10/28/19,154.119995,154.660004,154,154.380005,152.096146,2725500
10/29/19,154.229996,154.800003,154.110001,154.350006,152.066605,1561500
10/30/19,154.399994,154.940002,153.639999,154.720001,152.431122,2246000
10/31/19,154.679993,154.679993,153.419998,154.179993,151.899094,2224400
11/1/19,155,155.830002,154.919998,155.830002,153.524704,2341400
11/4/19,156.699997,156.770004,156.179993,156.399994,154.086258,2150600
11/5/19,156.600006,156.779999,156.070007,156.259995,153.948334,2377100
11/6/19,156.240005,156.300003,155.630005,156.190002,153.879379,2288400
11/7/19,157,157.339996,156.410004,156.720001,154.401535,2407300
11/8/19,156.559998,157.160004,156.080002,157.160004,154.835037,2132400
11/11/19,156.399994,156.929993,156.25,156.850006,154.529617,1738900
11/12/19,157.029999,157.690002,156.740005,157.119995,154.795624,1730700
11/13/19,156.570007,157.389999,156.389999,157.190002,154.864578,2189400
11/14/19,156.990005,157.440002,156.720001,157.350006,155.022217,2096200
11/15/19,158.149994,158.550003,157.789993,158.550003,156.204453,2615300
11/18/19,158.419998,158.740005,158.119995,158.639999,156.293121,3128400
11/19/19,159.050003,159.149994,158.259995,158.690002,156.342392,2225200
11/20/19,158.320007,158.720001,157.25,158.190002,155.849777,3336200
11/21/19,158.270004,158.339996,157.440002,157.789993,155.455704,2220300
11/22/19,158.309998,158.339996,157.610001,158.139999,155.800522,1886000
11/25/19,158.759995,159.639999,158.600006,159.639999,157.278336,2525300
11/26/19,159.669998,160.059998,159.479996,159.979996,157.613297,1884900
11/27/19,160.380005,160.740005,160.020004,160.740005,158.362076,2343200
11/29/19,160.460007,160.550003,159.919998,160.020004,157.652725,1171000
12/2/19,160.259995,160.360001,158.449997,158.570007,156.224167,3766700
12/3/19,157.089996,157.710007,156.380005,157.630005,155.298065,4040300
12/4/19,158.289993,158.960007,158.100006,158.649994,156.302963,2132100
12/5/19,159,159,158.179993,158.880005,156.529572,1858100
12/6/19,159.979996,160.539993,159.889999,160.289993,157.918716,2021000
12/9/19,160.089996,160.429993,159.75,159.779999,157.41626,1934300
12/10/19,159.770004,160.100006,159.289993,159.639999,157.278336,2150800
12/11/19,159.889999,160.139999,159.570007,160.020004,157.652725,1781300
12/12/19,160.020004,161.779999,159.839996,161.330002,158.943329,3012200
12/13/19,161.25,162.089996,160.669998,161.330002,158.943329,3023500
12/16/19,162.360001,162.880005,162.220001,162.509995,160.105881,2466000
12/17/19,162.770004,162.860001,162.440002,162.570007,160.164993,4421500
12/18/19,162.830002,162.919998,162.259995,162.639999,160.233948,2139800
12/19/19,162.740005,163.350006,162.699997,163.350006,160.933456,3018600
12/20/19,164,164.339996,163.860001,164.190002,161.761017,3142900
12/23/19,164.559998,164.589996,164.199997,164.289993,161.859543,3822900
12/24/19,163.679993,163.720001,163.25,163.440002,161.895203,1624900
12/26/19,163.699997,164.229996,163.630005,164.229996,162.677734,2515000
12/27/19,164.610001,164.679993,163.800003,164.080002,162.52916,2356700
12/30/19,164.300003,164.380005,162.910004,163.190002,161.647568,4503500
12/31/19,163,163.759995,162.720001,163.619995,162.073502,3262400
1/2/20,164.679993,164.979996,163.779999,164.979996,163.420639,3291100
1/3/20,163.289993,164.470001,163.009995,163.929993,162.380569,3625400
1/6/20,162.919998,164.520004,162.830002,164.490005,162.935287,6813800
1/7/20,164.270004,164.460007,163.779999,164.100006,162.548965,2498400
1/8/20,164.199997,165.550003,164.039993,164.910004,163.351318,4244800
1/9/20,165.809998,165.979996,165.360001,165.940002,164.371567,2216900
1/10/20,166.259995,166.300003,165.199997,165.460007,163.896118,4023000
1/13/20,166,166.630005,165.520004,166.589996,165.015427,3997100
1/14/20,166.550003,167.119995,166.169998,166.5,164.926285,3062000
1/15/20,166.5,167.399994,166.419998,166.910004,165.332413,2479200
1/16/20,167.710007,168.369995,167.610001,168.339996,166.748886,2205600
1/17/20,169.009995,169.009995,168.369995,168.759995,167.164917,2272000
1/21/20,168.399994,168.850006,168.169998,168.399994,166.808319,3174200
1/22/20,168.929993,169.320007,168.350006,168.5,166.907379,2113600
1/23/20,168.110001,168.770004,167.389999,168.690002,167.095596,2370000
1/24/20,169.089996,169.089996,166.330002,167.089996,165.510696,3292500
1/27/20,164.229996,165.320007,163.839996,164.580002,163.024429,4692800
1/28/20,165.330002,166.669998,165.059998,166.169998,164.599396,4010700
1/29/20,166.960007,166.990005,165.919998,166.059998,164.490448,1751700
1/30/20,165,166.610001,164.470001,166.460007,164.886673,2835900
1/31/20,166.160004,166.210007,163.039993,163.520004,161.974442,4525300
2/3/20,164.350006,165.830002,164.309998,164.960007,163.400848,2783900
2/4/20,166.970001,168.020004,166.809998,167.559998,165.976273,2732700
2/5/20,169.130005,169.350006,168.169998,169.210007,167.610672,4133700
2/6/20,169.759995,169.830002,169.190002,169.679993,168.076218,2202300
2/7/20,169.050003,169.399994,168.410004,168.710007,167.115402,2579200
2/10/20,168.279999,169.949997,168.259995,169.949997,168.343658,2494100
2/11/20,170.740005,171.25,170.110001,170.419998,168.809219,2921700
2/12/20,171.240005,171.550003,170.910004,171.490005,169.869125,2154100
2/13/20,170.699997,171.929993,170.550003,171.419998,169.799774,2827500
2/14/20,171.600006,171.770004,170.979996,171.699997,170.077133,2527800
2/18/20,171.270004,171.539993,170.529999,171.300003,169.680908,2459400
2/19/20,171.919998,172.559998,171.770004,172.169998,170.542679,2488100
2/20/20,171.960007,172.429993,169.899994,171.649994,170.027603,7061600
2/21/20,170.949997,171.029999,169.399994,169.889999,168.284241,2983500
2/24/20,164.5,165.869995,163.589996,164.300003,162.747086,8710900
2/25/20,165.039993,165.389999,158.770004,159.279999,157.774521,10112300
2/26/20,160.009995,161.809998,158,158.399994,156.902832,8210300
2/27/20,155.039993,157.529999,151.399994,151.460007,150.028442,14384200
2/28/20,146.419998,150.589996,145.300003,150.440002,149.018066,22283300
3/2/20,151.410004,156.820007,149.580002,156.669998,155.189178,12071600
3/3/20,157.339996,159.300003,151.080002,152.630005,151.187378,8623100
3/4/20,155.520004,158.75,154.050003,158.729996,157.229721,5226600
3/5/20,154.809998,156.360001,152.110001,153.440002,151.989731,5343100
3/6/20,148.979996,151.339996,147.119995,150.589996,149.166656,9947700
3/9/20,140,143.630005,138.240005,138.5,137.190933,18537100
3/10/20,144.350006,145.410004,137.899994,145.369995,143.996002,11693300
3/11/20,141.449997,142.199997,136.300003,138.009995,136.705551,10760200
3/12/20,129.179993,133.669998,124.410004,124.589996,123.412399,20969500
3/13/20,132,135.929993,125,135.929993,134.645218,15351600
3/16/20,121.059998,127.989998,120,120.459999,119.321442,14652900
3/17/20,122.209999,127.370003,118,126.5,125.304352,16645800
3/18/20,118.5,122.360001,113,119.209999,118.08326,15388000
3/19/20,117.410004,122.800003,114.589996,120.089996,118.954941,11083500
3/20/20,121.150002,122.660004,114.800003,115.190002,114.10125,12259000
3/23/20,113.650002,114.900002,109.489998,111.910004,110.852257,16443000
3/24/20,117.629997,122.580002,117,122.529999,121.37188,10986900
3/25/20,123.540001,129.029999,120.589996,124.220001,123.045906,14428100
3/26/20,124.839996,131.630005,124.660004,131.110001,130.5159,10549100
3/27/20,127.120003,130.509995,125.510002,126.93,126.354843,9731500
3/30/20,127.779999,131.169998,126.639999,130.779999,130.187393,10416300
3/31/20,130.970001,131.610001,128.020004,128.910004,128.325867,8662400
4/1/20,124.129997,125.620003,121.769997,122.959999,122.402824,7911500
4/2/20,122.379997,126.129997,122.019997,125.519997,124.951225,6244300
4/3/20,124.849998,126.040001,121.860001,123.379997,122.820923,6584400
4/6/20,128.429993,132.800003,127.779999,132.009995,131.411819,9369400
4/7/20,137.020004,137.279999,132.080002,132.160004,131.561142,10469900
4/8/20,133.729996,137.449997,132.419998,136.800003,136.180115,6610400
4/9/20,138.919998,140.779999,137.809998,139.360001,138.728516,9315700
4/13/20,138.75,140.059998,135.630005,137.699997,137.076035,7291600
4/14/20,140.589996,142.210007,139.970001,141.880005,141.237106,5609300
4/15/20,138.740005,139.490005,137.429993,138.550003,137.922195,5164100
4/16/20,139.270004,139.550003,137.429993,139.199997,138.569229,5301200
4/17/20,142.710007,143.479996,141.080002,143.139999,142.491379,6411200
4/20/20,141,143.050003,140.509995,140.820007,140.1819,5414000
4/21/20,138.100006,138.979996,135.869995,136.449997,135.831696,6367500
4/22/20,139.259995,140.300003,138.360001,139.529999,138.897736,6342900
4/23/20,140.220001,141.979996,139.440002,139.550003,138.917664,6198300
4/24/20,140.5,141.970001,139.259995,141.630005,140.988235,4407500
4/27/20,142.649994,144.660004,141,144.139999,143.486847,4968200
4/28/20,146.169998,146.479996,143.369995,143.690002,143.038895,3594500
4/29/20,146.809998,148.539993,146.029999,147.759995,147.090439,4990900
4/30/20,146.779999,147.050003,145.119995,145.839996,145.179153,4228800
5/1/20,143.119995,143.600006,139.800003,141.809998,141.167404,4232500
5/4/20,140.669998,142.449997,139.910004,142.350006,141.704971,4741200
5/5/20,144.080002,145.339996,143.460007,143.669998,143.018982,3665900
5/6/20,144.610001,144.869995,142.699997,142.880005,142.232574,3927300
5/7/20,144.699997,145.759995,144.399994,144.75,144.094086,3796300
5/8/20,146.449997,147.630005,145.880005,147.470001,146.801773,4251200
5/11/20,146.220001,148.210007,146.029999,147.490005,146.821686,4240900
5/12/20,148.080002,148.309998,144.199997,144.350006,143.695908,4864400
5/13/20,143.899994,144.309998,140.020004,141.449997,140.809036,5862100
5/14/20,139.850006,143.089996,138.369995,142.970001,142.322159,7561000
5/15/20,141.770004,143.860001,141.190002,143.830002,143.178268,3845600
5/18/20,147.529999,149.410004,147.25,148.600006,147.926651,4558800
5/19/20,148.360001,149.300003,147.020004,147.020004,146.353806,3180900
5/20/20,149.169998,150.190002,148.910004,149.740005,149.061478,3894000
5/21/20,149.600006,150.130005,148.020004,148.839996,148.165558,3419200
5/22/20,148.759995,149.279999,147.970001,149.259995,148.583649,3003000
5/26/20,152.839996,152.889999,151.110001,151.339996,150.654221,4197500
5/27/20,153,153.729996,150.020004,153.729996,153.033401,5077700
5/28/20,154.410004,155.190002,152.729996,153.199997,152.505798,4601500
5/29/20,152.800003,154.130005,151.410004,153.710007,153.013504,4777100
6/1/20,153.619995,155.089996,153.270004,154.75,154.048782,3478900
6/2/20,155.199997,156,154.429993,155.919998,155.21347,4157200
6/3/20,157.199997,158.800003,157.009995,158.350006,157.632477,9496400
6/4/20,157.710007,158.649994,156.619995,157.850006,157.134735,5629200
6/5/20,161.399994,163.080002,161,161.899994,161.166367,4373400
6/8/20,162.899994,164.199997,162.320007,164.100006,163.356415,5851300
6/9/20,162.649994,163.479996,161.880005,162.600006,161.86322,3200400
6/10/20,162.809998,163.25,161.009995,161.389999,160.658691,4292900
6/11/20,156.910004,157.699997,151.630005,151.869995,151.181824,12504600
6/12/20,156.490005,156.490005,150.830002,153.970001,153.272308,6882100
6/15/20,150.559998,156.160004,149.850006,155.619995,154.914825,4859200
6/16/20,160.119995,160.119995,155.910004,158.610001,157.891281,4581200
6/17/20,159.139999,159.210007,157.410004,157.839996,157.124771,3702200
6/18/20,156.940002,158.300003,156.429993,157.970001,157.254181,2797800
6/19/20,159.860001,159.880005,156.289993,157.080002,156.368225,3824900
6/22/20,156.949997,158.300003,156.050003,158.169998,157.453278,2561300
6/23/20,159.630005,159.979996,158.550003,158.789993,158.070465,2555100
6/24/20,157.630005,157.910004,153.410004,154.479996,153.779999,3729100
6/25/20,153.429993,155.770004,152.410004,155.639999,155.639999,4029200
6/26/20,154.979996,155.169998,151.729996,152.020004,152.020004,3508500
6/29/20,152.699997,154.279999,151.350006,154.25,154.25,3161600
6/30/20,154.479996,157.220001,154.070007,156.529999,156.529999,4317400
7/1/20,156.899994,158.039993,156.610001,157.440002,157.440002,3640900
7/2/20,159.300003,160.070007,157.860001,158.070007,158.070007,3181600
7/6/20,160.5,161.029999,159.860001,160.559998,160.559998,3307600
7/7/20,159.789993,160.880005,158.729996,158.929993,158.929993,2357400
7/8/20,159.309998,160.279999,158.369995,160.229996,160.229996,2434900
7/9/20,160.559998,160.699997,157.279999,159.240005,159.240005,2465200
7/10/20,159.169998,161.009995,158.429993,160.949997,160.949997,2391800
7/13/20,162.080002,163.550003,158.880005,159.210007,159.210007,4694700
7/14/20,158.5,161.419998,157.740005,161.300003,161.300003,3221300
7/15/20,163.330002,163.639999,161.669998,163.300003,163.300003,3747800
7/16/20,162.160004,162.800003,161.679993,162.570007,162.570007,2190700
7/17/20,163.089996,163.509995,162.070007,163.190002,163.190002,2141100
7/20/20,163.020004,164.860001,162.600006,164.440002,164.440002,3113200
7/21/20,165.639999,165.899994,164.369995,164.910004,164.910004,2347500
7/22/20,164.589996,165.940002,164.589996,165.770004,165.770004,2723200
